Pays,Life_exp,Mortality,Urban,Iliteracy,Water,Telephone,Vehicles,Fertility,Hosp_beds,Physicians
Chine,70.00,31.00,31.00,17.00,90.00,70.00,3.00,1.9,2.9,2
Colombie,70.00,23.00,73.00,9.00,78.00,173.00,21.00,2.7,1.5,1.1
Congo,48.00,90.00,61.00,21.50,47.00,8.00,14.00,6,3.4,0.3
Costa_Rica,77.00,13.00,47.00,5.00,92.00,172.00,85.00,2.6,1.9,1.4
Cote_d'Ivoire,46.00,88.00,45.00,55.50,72.00,12.00,18.00,5,0.8,0.1
Croatie,73.00,8.00,57.00,2.00,63.00,348.00,17.00,1.5,5.9,2
République_Tchèque,75.00,5.00,75.00,3.00,97.00,364.00,358.00,1.2,9.2,2.9
Danemark,76.00,5.00,85.00,1.00,100.00,660.00,355.00,1.8,4.7,2.9
Equateur,70.00,32.00,63.00,9.50,70.00,78.00,41.00,2.9,1.6,1.7
Egypte,67.00,49.00,45.00,46.50,64.00,60.00,23.00,3.2,2,2.1
El_Salvador,69.00,31.00,46.00,22.00,55.00,80.00,30.00,3.3,1.6,1
Estonie,70.00,9.00,69.00,2.00,100.00,343.00,312.00,1.2,7.4,3.1
Ethiopie,43.00,107.00,17.00,64.00,27.00,3.00,1.00,6.4,0.2,0
Finlande,77.00,4.00,66.00,1.00,98.00,554.00,145.00,1.8,9.2,2.8
France,78.00,5.00,75.00,1.00,100.00,570.00,442.00,1.8,8.7,2.9
Gabon,53.00,86.00,79.00,29.00,67.00,33.00,14.00,5.1,3.2,0.2
Gambie,53.00,76.00,31.00,65.50,76.00,21.00,8.00,5.6,0.6,0
Géorgie,73.00,15.00,60.00,4.00,100.00,115.00,80.00,1.3,4.8,3.8
Allemagne,77.00,5.00,87.00,1.00,100.00,567.00,506.00,1.4,9.6,3.4
Grèce,78.00,6.00,60.00,3.50,100.00,522.00,238.00,1.3,5,3.9
Guatemala,64.00,42.00,39.00,32.50,67.00,41.00,12.00,4.4,1,0.9
Guinée,47.00,118.00,31.00,41.00,62.00,5.00,2.00,5.4,0.6,0.2
Guinée-Bissau,44.00,128.00,23.00,63.00,53.00,7.00,6.00,5.6,1.5,0.2
Haiti,54.00,71.00,34.00,52.00,28.00,8.00,4.00,4.3,0.7,0.2
Honduras,69.00,36.00,51.00,27.00,65.00,38.00,7.00,4.2,1.1,0.8
Hongrie,71.00,10.00,64.00,1.00,99.00,336.00,233.00,1.3,9.1,3.4
Inde,63.00,70.00,28.00,45.00,81.00,22.00,5.00,3.2,0.8,0.4
Indonésie,65.00,43.00,39.00,14.50,62.00,27.00,12.00,2.7,0.7,0.2
Iran,71.00,26.00,61.00,25.50,83.00,112.00,26.00,2.7,1.6,0.9
Irlande,76.00,6.00,59.00,1.00,100.00,435.00,279.00,1.9,3.7,2.1
Israel,78.00,6.00,91.00,4.00,99.00,471.00,215.00,2.7,6,4.6
Italie,78.00,5.00,67.00,1.50,100.00,451.00,539.00,1.2,6.5,5.5
Jamaique,75.00,21.00,55.00,14.00,70.00,166.00,40.00,2.6,2.1,1.3
Japon,81.00,4.00,79.00,2.00,96.00,503.00,394.00,1.4,16.2,1.8
Jordanie,71.00,27.00,73.00,11.50,89.00,86.00,48.00,4.1,1.8,1.7
Kazakhstan,65.00,22.00,56.00,7.00,93.00,104.00,62.00,2,8.5,3.5
Kenya,51.00,76.00,31.00,19.50,53.00,9.00,11.00,4.6,1.6,0
Corée_du_Sud,73.00,9.00,80.00,2.50,83.00,433.00,163.00,1.6,4.6,1.1
Koweit,77.00,12.00,97.00,19.50,100.00,236.00,359.00,2.8,2.8,1.9
Laos,54.00,96.00,22.00,54.00,39.00,6.00,3.00,5.5,2.6,0.2
Liban,70.00,27.00,89.00,15.00,100.00,194.00,21.00,2.4,2.7,2.8
Lituanie,72.00,9.00,68.00,0.5,97.00,300.00,265.00,1.4,9.6,3.9
Madagascar,58.00,92.00,28.00,35.00,29.00,3.00,4.00,5.7,0.9,0.3
Malawi,42.00,134.00,22.00,41.50,45.00,3.00,2.00,6.4,1.3,0
Malaisie,72.00,8.00,56.00,13.50,100.00,198.00,145.00,3.1,2,0.5
Mali,50.00,117.00,29.00,61.50,37.00,3.00,3.00,6.5,0.2,0.1
Mauritanie,54.00,90.00,55.00,58.50,64.00,6.00,8.00,5.4,0.7,0.1
Ile_Maurice,71.00,19.00,41.00,16.50,98.00,214.00,71.00,2,3.1,0.9
Mexique,72.00,30.00,74.00,9.00,83.00,104.00,97.00,2.8,1.2,1.2
Mongolie,66.00,50.00,62.00,38.50,45.00,37.00,16.00,2.5,11.5,2.6
Maroc,67.00,49.00,55.00,53.00,52.00,54.00,38.00,3,1,0.5
Népal,58.00,77.00,11.00,60.50,44.00,8.00,0,4.4,0.2,0
Pays-Bas,78.00,5.00,89.00,1.00,100.00,593.00,391.00,1.6,11.3,2.6
Nouvelle-Zélande,77.00,5.00,86.00,2.00,97.00,479.00,470.00,1.9,6.1,2.1
Nicaragua,68.00,36.00,55.00,30.50,81.00,31.00,18.00,3.7,1.5,0.8
Niger,46.00,118.00,20.00,85.50,53.00,2.00,4.00,7.3,0.1,0
Nigéria,53.00,76.00,42.00,39.00,39.00,4.00,9.00,5.3,1.7,0.2
Norvège,78.00,4.00,75.00,1.00,100.00,660.00,402.00,1.8,15,2.5
Oman,73.00,18.00,81.00,32.50,68.00,92.00,103.00,4.6,2.2,1.3
Pakistan,62.00,91.00,36.00,56.50,60.00,19.00,5.00,4.9,0.7,0.6
Panama,74.00,21.00,56.00,8.50,84.00,151.00,79.00,2.6,2.2,1.7
Paraguay,70.00,24.00,55.00,7.50,70.00,55.00,14.00,3.9,1.3,1.1
Pérou,69.00,40.00,72.00,11.00,80.00,67.00,26.00,3.1,1.5,0.9
Philippines,69.00,32.00,57.00,5.00,83.00,37.00,10.00,3.6,1.1,0.1
Pologne,73.00,10.00,65.00,0,98.00,228.00,230.00,1.4,5.4,2.3
Portugal,75.00,8.00,61.00,8.50,82.00,413.00,309.00,1.5,4.1,3
Roumanie,69.00,21.00,56.00,2.00,62.00,162.00,116.00,1.3,7.6,1.8
Russie,67.00,17.00,77.00,0.5,95.00,197.00,120.00,1.2,12.1,4.6
Rwanda,41.00,123.00,6.00,31.00,56.00,2.00,1.00,6.1,1.7,0
Arabie_Saoudite,72.00,20.00,85.00,26.50,93.00,143.00,98.00,5.7,2.3,1.7
Sénégal,52.00,69.00,46.00,64.50,50.00,16.00,10.00,5.5,0.4,0.1
Sierra_Leone,37.00,169.00,35.00,39.00,34.00,4.00,5.00,6,1.2,0.1
Singapour,77.00,4.00,100.00,8.00,100.00,562.00,108.00,1.5,3.6,1.4
Slovaquie,73.00,9.00,57.00,3.00,92.00,286.00,222.00,1.4,7.5,3
Slovénie,75.00,5.00,50.00,0,98.00,375.00,403.00,1.2,5.7,2.1
Espagne,78.00,5.00,77.00,3.00,100.00,414.00,385.00,1.2,3.9,4.2
Sri_Lanka,73.00,16.00,23.00,9.00,46.00,28.00,15.00,2.1,2.7,0.2
Soudan,55.00,69.00,34.00,44.50,50.00,6.00,9.00,4.6,1.1,0.1
Suède,79.00,4.00,83.00,1.00,100.00,674.00,428.00,1.5,5.6,3.1
Suisse,79.00,4.00,68.00,1.00,100.00,675.00,477.00,1.5,20.8,3.2
Syrie,69.00,28.00,54.00,32.50,85.00,95.00,9.00,3.9,1.5,1.4
Tadjikistan,69.00,23.00,28.00,1.00,69.00,37.00,0,3.4,8.8,2.1
Tanzanie,47.00,85.00,31.00,26.50,49.00,4.00,1.00,5.4,0.9,0
Thailande,72.00,29.00,21.00,5.00,94.20,84.00,27.00,1.9,2,0.4
Togo,49.00,78.00,32.00,45.00,63.00,7.00,19.00,5.1,1.5,0.1
Tunisie,72.00,28.00,64.00,31.50,99.00,81.00,30.00,2.2,1.7,0.7
Turquie,69.00,38.00,73.00,16.00,49.00,254.00,64.00,2.4,2.5,1.1
Turkménistan,66.00,33.00,45.00,8.00,60.00,82.00,1.00,2.9,11.5,0.2
Ouganda,42.00,101.00,14.00,35.00,34.00,3.00,2.00,6.5,0.9,0
Ukraine,67.00,14.00,68.00,0.5,55.00,191.00,0,1.3,11.8,4.5
Emirats_Arabes_Unis,75.00,8.00,85.00,25.00,98.00,389.00,11.00,3.4,2.6,1.8
Royaume-Uni,77.00,6.00,89.00,1.00,100.00,557.00,375.00,1.7,4.5,1.6
Etats-Unis,77.00,7.00,77.00,2.00,100.00,661.00,483.00,2,4,2.6
Uruguay,74.00,16.00,91.00,2.50,99.00,250.00,154.00,2.4,4.4,3.7
Ouzbékistan,69.00,22.00,38.00,12.00,57.00,65.00,0,2.8,8.3,3.3
Vénézuela,73.00,21.00,86.00,8.00,79.00,117.00,69.00,2.9,1.5,2.4
Vietnam,68.00,34.00,20.00,7.00,36.00,26.00,1.00,2.3,3.8,0.4
Yémen,56.00,82.00,24.00,56.00,74.00,13.00,14.00,6.3,0.7,0.2
Zambie,43.00,114.00,39.00,23.50,43.00,9.00,15.00,5.5,3.5,0.1
Zimbabwe,51.00,73.00,34.00,12.50,77.00,17.00,28.00,3.7,0.5,0.1
